id;name;sex;Balletthaus;Geburtsjahr;Geburtsland
Amandine_Albissom;Amandine Albissom;1;Opéra national de Paris;1989;Frankreich
Guillaume_Diop;Guillaume Diop;2;Opéra national de Paris;2000;Frankreich
Mathieu_Ganio;Mathieu Ganio;2;Opéra national de Paris;1984;Frankreich
Dorothée_Gilbert;Dorothée Gilbert;1;Opéra national de Paris;1983;Frankreich
Valentine_Colasante;Valentine Colasante;1;Opéra national de Paris;1989;Frankreich
Mad;Madrid;NA;NA;NA;NA
Abu;Abu Dhabi;NA;NA;NA;NA
Tok;Tokio;NA;NA;NA;NA
Seo;Seoul;NA;NA;NA;NA
Mosk;Moskau;NA;NA;NA;NA
Gen;Genf;NA;NA;NA;NA
Nago;Nagoya;NA;NA;NA;NA
Syd;Sydney;NA;NA;NA;NA
Chic;Chicago;NA;NA;NA;NA
Wash;Washington;NA;NA;NA;NA
New;New York;NA;NA;NA;NA
Mala;Malasya;NA;NA;NA;NA
Bei;Beijing;NA;NA;NA;NA
Novo;Novosibirsk;NA;NA;NA;NA
Sing;Singapur;NA;NA;NA;NA
Wie;Wien;NA;NA;NA;NA
Los;Los Angeles;NA;NA;NA;NA
Rio;Rio de Janeiro;NA;NA;NA;NA
São;São Paulo;NA;NA;NA;NA
Sha;Shanghai;NA;NA;NA;NA
Bris;Brisbane;NA;NA;NA;NA
Pal;Palermo;NA;NA;NA;NA
Mes;Messina;NA;NA;NA;NA
San;San Remo;NA;NA;NA;NA
Ac;Acqui;NA;NA;NA;NA
Tor;Toronto;NA;NA;NA;NA
Ha;Hanoi;NA;NA;NA;NA
Am;Amsterdam;NA;NA;NA;NA
Sal;Salerno;NA;NA;NA;NA
Sankt;Sankt Petersburg;NA;NA;NA;NA
At;Athen;NA;NA;NA;NA
